Cidade;Estado;UF;Frete Mínimo;Frete One;Frete Two;Frete Three;Deadline;Transportadora
Aimorés;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Aiuruoca;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alagoa;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Albertina;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Além Paraíba;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Alfenas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alfredo Vasconcelos;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Almenara;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Alpercata;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alpinópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alterosa;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alto Caparaó;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Alto Rio Doce;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Alvarenga;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alvinópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Alvorada de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Amparo do Serra;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Andradas;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Cachoeira de Pajeú;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Andrelândia;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Angelândia;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Antônio Carlos;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Antônio Dias;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Antônio Prado de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Araçaí;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Aracitaba;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Araçuaí;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Araguari;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Arantina;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Araponga;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Araporã;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Arapuá;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Araújos;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Araxá;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Arceburgo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Arcos;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Areado;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Argirita;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Aricanduva;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Arinos;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Astolfo Dutra;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Ataléia;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Augusto de Lima;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Baependi;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Baldim;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bambuí;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bandeira;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Bandeira do Sul;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Barão de Cocais;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Barão de Monte Alto;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Barbacena;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Barra Longa;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Barroso;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bela Vista de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Belmiro Braga;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Belo Horizonte;Minas Gerais;MG;700;9;10,2;11,5;8;THM TRANSPORTE E LOGISTICA LTDA
Belo Oriente;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Belo Vale;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Berilo;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Bertópolis;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Berizal;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Betim;Minas Gerais;MG;700;9;10,2;11,5;8;THM TRANSPORTE E LOGISTICA LTDA
Bias Fortes;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Bicas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Biquinhas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Boa Esperança;Minas Gerais;MG;700;9;10,2;11,5;18;THM TRANSPORTE E LOGISTICA LTDA
Bocaina de Minas;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Bocaiúva;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Bom Despacho;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Jardim de Minas;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Jesus da Penha;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Jesus do Amparo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Jesus do Galho;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Repouso;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bom Sucesso;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bonfim;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bonfinópolis de Minas;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Bonito de Minas;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Borda da Mata;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Botelhos;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Botumirim;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Brasilândia de Minas;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Brasília de Minas;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Brás Pires;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Braúnas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Brazópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Brumadinho;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Bueno Brandão;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Buenópolis;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Bugre;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Buritis;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Buritizeiro;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cabeceira Grande;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Cabo Verde;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cachoeira da Prata;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cachoeira de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cachoeira Dourada;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Caetanópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Caeté;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Caiana;Minas Gerais;MG;700;5;5;5;15;E4LOG SOLUCOES LOGISTICAS LTDA
Cajuri;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Caldas;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Camacho;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Camanducaia;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Cambuí;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Cambuquira;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Campanário;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Campanha;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Campestre;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Campina Verde;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Campo Azul;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Campo Belo;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Campo do Meio;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Campo Florido;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Campos Altos;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Campos Gerais;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Canaã;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Canápolis;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cana Verde;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Candeias;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cantagalo;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Caparaó;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Capela Nova;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Capelinha;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Capetinga;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Capim Branco;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Capinópolis;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Capitão Andrade;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Capitão Enéas;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Capitólio;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Caputira;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Caraí;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Caranaíba;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carandaí;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Carangola;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Caratinga;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carbonita;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Careaçu;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Carlos Chagas;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Carmésia;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Carmo da Cachoeira;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carmo da Mata;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carmo de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carmo do Cajuru;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carmo do Paranaíba;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Carmo do Rio Claro;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carmópolis de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carneirinho;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Carrancas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Carvalhópolis;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Carvalhos;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Casa Grande;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Cascalho Rico;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cássia;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conceição da Barra de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cataguases;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Catas Altas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Catas Altas da Noruega;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Catuji;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Catuti;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Caxambu;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cedro do Abaeté;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Central de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Centralina;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Chácara;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Chalé;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Chapada do Norte;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Chapada Gaúcha;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Chiador;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cipotânea;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Claraval;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Claro dos Poções;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cláudio;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coimbra;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coluna;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Comendador Gomes;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Comercinho;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Conceição da Aparecida;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conceição das Pedras;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conceição das Alagoas;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Conceição de Ipanema;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Conceição do Mato Dentro;Minas Gerais;MG;700;9;10,2;11,5;18;THM TRANSPORTE E LOGISTICA LTDA
Conceição do Pará;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conceição do Rio Verde;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conceição dos Ouros;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cônego Marinho;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Confins;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Congonhal;Minas Gerais;MG;700;5;5;5;12;E4LOG SOLUCOES LOGISTICAS LTDA
Congonhas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Congonhas do Norte;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Conquista;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Conselheiro Lafaiete;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Conselheiro Pena;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Consolação;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Contagem;Minas Gerais;MG;700;9;10,2;11,5;8;THM TRANSPORTE E LOGISTICA LTDA
Coqueiral;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coração de Jesus;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Cordisburgo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cordislândia;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Corinto;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coroaci;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coromandel;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Coronel Fabriciano;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coronel Murta;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Coronel Pacheco;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Coronel Xavier Chaves;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Córrego Danta;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Córrego do Bom Jesus;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Córrego Fundo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Córrego Novo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Couto de Magalhães de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Crisólita;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Cristais;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cristália;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Cristiano Otoni;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cristina;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Crucilândia;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cruzeiro da Fortaleza;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Cruzília;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Cuparaque;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Curral de Dentro;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Curvelo;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Datas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Delfim Moreira;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Delfinópolis;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Delta;Minas Gerais;MG;700;5;5;5;15;E4LOG SOLUCOES LOGISTICAS LTDA
Descoberto;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Desterro de Entre Rios;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Desterro do Melo;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Diamantina;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Diogo de Vasconcelos;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dionísio;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Divinésia;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Divino;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Divino das Laranjeiras;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Divinolândia de Minas;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Divinópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Divisa Alegre;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Divisa Nova;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Divisópolis;Minas Gerais;MG;700;10;10,7;11,6;15;THM TRANSPORTE E LOGISTICA LTDA
Dom Bosco;Minas Gerais;MG;700;13;12;12;15;THM TRANSPORTE E LOGISTICA LTDA
Dom Cavati;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dom Joaquim;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Dom Silvério;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dom Viçoso;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dona Euzébia;Minas Gerais;MG;700;10;10,7;11,6;12;THM TRANSPORTE E LOGISTICA LTDA
Dores de Campos;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dores de Guanhães;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Dores do Indaiá;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
Dores do Turvo;Minas Gerais;MG;700;9;10,2;11,5;15;THM TRANSPORTE E LOGISTICA LTDA
Doresópolis;Minas Gerais;MG;700;9;10,2;11,5;12;THM TRANSPORTE E LOGISTICA LTDA
